id,Umur,Kelas Pekerja,Berat Akhir,Pendidikan,Jmlh Tahun Pendidikan,Status Perkawinan,Pekerjaan,Jenis Kelamin,Keuntungan Kapital,Kerugian Capital,Jam per Minggu,Gaji
0,21,Wiraswasta,242912,SMA,9,Belum Pernah Menikah,Servis Lainnya,Perempuan,0,0,35,<= 6 juta
1,49,Wiraswasta,140782,10th,6,Cerai,Ekesekutif Managerial,Perempuan,0,0,40,<= 6 juta
2,44,Wiraswasta,120057,D3,12,Menikah,Ekesekutif Managerial,Laki2,61404000,0,45,> 6 juta
3,24,Wiraswasta,194630,Sarjana,13,Belum Pernah Menikah,Spesialis,Laki2,0,0,35,<= 6 juta
4,33,Wiraswasta,219619,Master,14,Menikah,Spesialis,Laki2,210336000,0,40,> 6 juta
5,31,Wiraswasta,331065,Sarjana,13,Belum Pernah Menikah,Ekesekutif Managerial,Perempuan,0,19712000,40,<= 6 juta
6,32,Wiraswasta,111520,Pendidikan Tinggi,10,Belum Pernah Menikah,Servis Lainnya,Laki2,0,0,34,<= 6 juta
7,20,Wiraswasta,115057,SMA,9,Belum Pernah Menikah,Perbaikan Kerajinan,Laki2,0,0,40,<= 6 juta
8,23,?,191910,Pendidikan Tinggi,10,Belum Pernah Menikah,?,Laki2,0,0,40,<= 6 juta
9,43,Wiraswasta,134120,SMA,9,Cerai,Sales,Perempuan,0,0,46,<= 6 juta
10,31,Wiraswasta,288825,SMA,9,Menikah,Pembersih,Laki2,70182000,0,40,<= 6 juta
11,28,Pemerintah Lokal,304960,D3,12,Belum Pernah Menikah,Pemuka Agama,Perempuan,0,27720000,40,<= 6 juta
12,45,Wiraswasta,320192,1st-4th,2,Menikah,Servis Lainnya,Perempuan,0,0,40,<= 6 juta
13,44,Pemerintah Lokal,100479,D3,12,Menikah,Spesialis,Laki2,0,0,48,<= 6 juta
14,52,Pekerja Bebas Perusahaan,168539,Sarjana,13,Belum Pernah Menikah,Ekesekutif Managerial,Laki2,0,0,40,<= 6 juta
15,27,Wiraswasta,409246,SMA,9,Menikah,Petani,Laki2,0,0,40,> 6 juta
16,26,Wiraswasta,44308,Sarjana,13,Belum Pernah Menikah,Tech-support,Laki2,0,0,40,<= 6 juta
17,56,Wiraswasta,204254,10th,6,Cerai,Servis Lainnya,Perempuan,0,0,45,<= 6 juta
18,59,Wiraswasta,359292,1st-4th,2,Menikah,Mesin Inspeksi,Laki2,0,0,40,<= 6 juta
19,41,Wiraswasta,109762,SMA,9,Cerai,Supir,Laki2,0,0,45,<= 6 juta
20,51,Wiraswasta,161482,SMA,9,Cerai,Servis Lainnya,Perempuan,0,0,38,<= 6 juta
21,68,Wiraswasta,144056,SMA,9,Menikah,Pemuka Agama,Laki2,53452000,0,40,<= 6 juta
22,64,Wiraswasta,151364,Pendidikan Tinggi,10,Belum Pernah Menikah,Pemuka Agama,Perempuan,0,0,40,<= 6 juta
23,21,Wiraswasta,25265,Pendidikan Tinggi,10,Belum Pernah Menikah,Servis Lainnya,Laki2,0,0,18,<= 6 juta
24,37,Pemerintah Negara,191841,Sarjana,13,Belum Pernah Menikah,Pemuka Agama,Perempuan,120596000,0,40,> 6 juta
25,67,Wiraswasta,154035,SMA,9,Janda,Pembersih,Laki2,0,0,32,<= 6 juta
26,34,Wiraswasta,421200,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0,0,40,<= 6 juta
27,42,?,148951,Sarjana,13,Cerai,?,Perempuan,0,0,12,<= 6 juta
28,44,Pekerja Bebas Bukan Perusahan,70884,SMA,9,Menikah,Petani,Laki2,0,0,60,<= 6 juta
29,24,Wiraswasta,131220,SMA,9,Belum Pernah Menikah,Pemuka Agama,Perempuan,0,0,40,<= 6 juta
30,25,Wiraswasta,307643,D3,12,Menikah,Perbaikan Kerajinan,Laki2,43442000,0,45,> 6 juta
31,24,Wiraswasta,195808,Pendidikan Tinggi,10,Belum Pernah Menikah,Mesin Inspeksi,Laki2,0,0,40,<= 6 juta
32,50,Wiraswasta,237258,Master,14,Belum Pernah Menikah,Ekesekutif Managerial,Laki2,389592000,0,48,> 6 juta
33,32,Wiraswasta,149368,Sarjana,13,Menikah,Spesialis,Laki2,0,0,40,> 6 juta
34,23,Wiraswasta,215115,Sarjana,13,Belum Pernah Menikah,Pemuka Agama,Perempuan,0,0,40,<= 6 juta
35,29,Wiraswasta,148431,D3,12,Menikah,Sales,Perempuan,107632000,0,45,> 6 juta
36,40,Wiraswasta,155767,SMA,9,Berpisah,Mesin Inspeksi,Laki2,0,0,40,<= 6 juta
37,34,Wiraswasta,80058,Sekolah Professional,15,Belum Pernah Menikah,Ekesekutif Managerial,Laki2,0,0,50,<= 6 juta
38,44,Wiraswasta,219288,7th-8th,4,Menikah,Perbaikan Kerajinan,Laki2,0,0,35,<= 6 juta
39,59,Wiraswasta,182460,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0,0,60,> 6 juta
40,33,Wiraswasta,373662,1st-4th,2,Menikah LDR,Asisten Rumah Tangga,Perempuan,0,0,40,<= 6 juta
41,35,Wiraswasta,186009,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0,0,40,> 6 juta
42,22,Wiraswasta,290044,Sarjana,13,Belum Pernah Menikah,Servis Lainnya,Perempuan,0,0,35,<= 6 juta
43,40,Wiraswasta,374764,Pendidikan Tinggi,10,Cerai,Pembersih,Laki2,0,0,40,<= 6 juta
44,25,Wiraswasta,197303,Sarjana,13,Belum Pernah Menikah,Spesialis,Perempuan,0,0,40,<= 6 juta
45,19,Wiraswasta,25429,Pendidikan Tinggi,10,Belum Pernah Menikah,Sales,Perempuan,0,0,25,<= 6 juta
46,19,Pemerintah Negara,159269,Pendidikan Tinggi,10,Belum Pernah Menikah,Pemuka Agama,Laki2,0,0,15,<= 6 juta
47,31,Wiraswasta,243165,Sarjana,13,Belum Pernah Menikah,Spesialis,Laki2,0,0,40,<= 6 juta
48,24,Wiraswasta,220426,SMA,9,Belum Pernah Menikah,Pembersih,Laki2,0,0,40,<= 6 juta
49,44,Wiraswasta,184871,Master,14,Menikah,Spesialis,Laki2,0,0,40,<= 6 juta
50,42,Pemerintah Provinsi,108183,Master,14,Menikah,Spesialis,Laki2,0,26628000,40,> 6 juta
51,33,Wiraswasta,179509,Sarjana,13,Menikah,Pembersih,Laki2,0,0,40,<= 6 juta
52,47,Pekerja Bebas Bukan Perusahan,102359,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0,0,30,<= 6 juta
53,66,Pekerja Bebas Bukan Perusahan,427422,Doktor,16,Menikah,Sales,Laki2,0,33278000,25,> 6 juta
54,43,Wiraswasta,151809,SMA,9,Menikah,Supir,Laki2,0,0,30,<= 6 juta
55,37,Wiraswasta,208391,Pendidikan Tinggi,10,Menikah,Supir,Laki2,0,0,40,> 6 juta
56,81,Pekerja Bebas Bukan Perusahan,218521,7th-8th,4,Menikah,Petani,Laki2,0,0,21,<= 6 juta
57,29,Wiraswasta,194640,SMA,9,Belum Pernah Menikah,Perbaikan Kerajinan,Laki2,0,0,40,<= 6 juta
58,27,Wiraswasta,198197,Sarjana,13,Belum Pernah Menikah,Tech-support,Laki2,0,0,45,<= 6 juta
59,25,Pemerintah Negara,180884,Pendidikan Tinggi,10,Menikah,Pemuka Agama,Perempuan,0,0,40,<= 6 juta
60,35,Pekerja Bebas Bukan Perusahan,210830,SMA,9,Belum Pernah Menikah,Servis Lainnya,Perempuan,0,0,40,<= 6 juta
61,51,Wiraswasta,147954,SMA,9,Menikah,Pemuka Agama,Perempuan,47754000,0,38,<= 6 juta
62,36,Pemerintah Provinsi,192150,SMA,9,Cerai,Pemuka Agama,Perempuan,0,0,40,<= 6 juta
63,32,Wiraswasta,347112,Sarjana,13,Belum Pernah Menikah,Ekesekutif Managerial,Perempuan,0,0,45,<= 6 juta
64,55,Wiraswasta,101480,SMA,9,Menikah,Servis Lainnya,Perempuan,0,0,33,<= 6 juta
65,46,Wiraswasta,215943,SMA,9,Cerai,Spesialis,Perempuan,0,0,40,<= 6 juta
66,49,Wiraswasta,209057,Pendidikan Tinggi,10,Cerai,Tech-support,Laki2,0,0,40,<= 6 juta
67,29,Wiraswasta,118230,SMA,9,Belum Pernah Menikah,Sales,Perempuan,0,0,35,<= 6 juta
68,68,Wiraswasta,45508,5th-6th,3,Menikah LDR,Sales,Laki2,0,0,22,<= 6 juta
69,58,Wiraswasta,127264,10th,6,Menikah,Perbaikan Kerajinan,Laki2,0,0,50,<= 6 juta
70,61,Wiraswasta,238611,7th-8th,4,Janda,Servis Lainnya,Perempuan,0,0,38,<= 6 juta
71,56,Wiraswasta,158752,Master,14,Menikah,Ekesekutif Managerial,Perempuan,0,0,50,<= 6 juta
72,45,Wiraswasta,146857,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0,0,38,> 6 juta
73,21,?,85733,Pendidikan Tinggi,10,Belum Pernah Menikah,?,Perempuan,0,0,40,<= 6 juta
74,37,Wiraswasta,134367,Sarjana,13,Menikah,Ekesekutif Managerial,Perempuan,0,0,37,> 6 juta
75,17,Wiraswasta,168807,10th,6,Belum Pernah Menikah,Servis Lainnya,Laki2,0,0,25,<= 6 juta
76,18,Wiraswasta,211413,11th,7,Belum Pernah Menikah,Servis Lainnya,Laki2,0,0,15,<= 6 juta
77,29,Wiraswasta,37359,Sarjana,13,Menikah,Mesin Inspeksi,Laki2,102172000,0,40,> 6 juta
78,24,Wiraswasta,263498,11th,7,Belum Pernah Menikah,Perbaikan Kerajinan,Laki2,0,0,40,<= 6 juta
79,40,Wiraswasta,130571,SMA,9,Belum Pernah Menikah,Servis Lainnya,Perempuan,0,0,40,<= 6 juta
80,74,Wiraswasta,172787,SMA,9,Janda,Pemuka Agama,Laki2,0,31948000,35,> 6 juta
81,23,Wiraswasta,126346,9th,5,Belum Pernah Menikah,Servis Lainnya,Perempuan,0,0,30,<= 6 juta
82,51,Wiraswasta,299831,D4,11,Belum Pernah Menikah,Spesialis,Perempuan,0,0,40,<= 6 juta
83,22,Wiraswasta,164922,SMA,9,Menikah,Servis Lainnya,Laki2,0,0,40,<= 6 juta
84,32,Wiraswasta,235109,Pendidikan Tinggi,10,Cerai,Pemuka Agama,Perempuan,0,0,40,<= 6 juta
85,30,Wiraswasta,198091,SMA,9,Belum Pernah Menikah,Perbaikan Kerajinan,Laki2,0,0,44,<= 6 juta
86,41,Pemerintah Negara,222434,D3,12,Menikah,Penjaga,Laki2,0,0,40,<= 6 juta
87,47,Pemerintah Lokal,272182,Pendidikan Tinggi,10,Belum Pernah Menikah,Pemuka Agama,Laki2,0,0,40,<= 6 juta
88,37,Pemerintah Provinsi,129573,Doktor,16,Menikah,Spesialis,Laki2,0,0,72,> 6 juta
89,23,Wiraswasta,163665,SMA,9,Belum Pernah Menikah,Ekesekutif Managerial,Perempuan,0,0,32,<= 6 juta
90,28,Pemerintah Lokal,229656,Master,14,Menikah,Ekesekutif Managerial,Perempuan,0,20790000,40,> 6 juta
91,45,Wiraswasta,200363,D4,11,Cerai,Ekesekutif Managerial,Perempuan,0,0,44,<= 6 juta
92,32,Wiraswasta,180871,D4,11,Cerai,Sales,Laki2,0,0,50,> 6 juta
93,31,Wiraswasta,97933,Pendidikan Tinggi,10,Belum Pernah Menikah,Pemuka Agama,Perempuan,0,0,40,<= 6 juta
94,28,Wiraswasta,251905,Master,14,Belum Pernah Menikah,Sales,Laki2,0,0,42,<= 6 juta
95,57,Wiraswasta,185072,Pendidikan Tinggi,10,Belum Pernah Menikah,Pemuka Agama,Perempuan,0,0,40,<= 6 juta
96,49,Wiraswasta,252079,Pendidikan Tinggi,10,Menikah,Supir,Laki2,0,0,40,> 6 juta
97,57,Pemerintah Lokal,174132,Master,14,Menikah,Spesialis,Perempuan,0,27678000,40,> 6 juta
98,52,Pemerintah Lokal,140027,SMA,9,Janda,Servis Lainnya,Perempuan,0,0,20,<= 6 juta
99,74,?,169303,SMA,9,Menikah,?,Laki2,94738000,0,6,<= 6 juta
100,19,Pemerintah Negara,176634,SMA,9,Belum Pernah Menikah,Pemuka Agama,Perempuan,0,0,40,<= 6 juta
101,33,Wiraswasta,261511,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0,0,40,<= 6 juta
102,38,Pekerja Bebas Perusahaan,107909,Sarjana,13,Menikah,Sales,Laki2,0,0,40,> 6 juta
103,20,Wiraswasta,216811,Pendidikan Tinggi,10,Belum Pernah Menikah,Sales,Perempuan,0,0,40,<= 6 juta
104,18,Wiraswasta,240330,12th,8,Belum Pernah Menikah,Servis Lainnya,Laki2,0,0,18,<= 6 juta
105,60,?,199947,SMA,9,Menikah,?,Laki2,0,0,32,<= 6 juta
106,61,Wiraswasta,194804,SD,1,Berpisah,Supir,Laki2,200816000,0,40,> 6 juta
107,46,Wiraswasta,116635,Sarjana,13,Berpisah,Spesialis,Perempuan,0,0,36,<= 6 juta
108,41,Pemerintah Provinsi,57924,Pendidikan Tinggi,10,Belum Pernah Menikah,Penjaga,Laki2,0,0,40,<= 6 juta
109,51,Wiraswasta,199995,9th,5,Menikah,Perbaikan Kerajinan,Laki2,0,0,50,> 6 juta
110,23,Wiraswasta,167868,D4,11,Belum Pernah Menikah,Pemuka Agama,Perempuan,0,0,40,<= 6 juta
111,51,Pemerintah Lokal,108435,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0,0,40,<= 6 juta
112,58,Wiraswasta,201344,Sarjana,13,Cerai,Perbaikan Kerajinan,Perempuan,0,0,20,<= 6 juta
113,42,Pemerintah Lokal,340148,Pendidikan Tinggi,10,Menikah,Pemuka Agama,Perempuan,0,0,40,<= 6 juta
114,62,Wiraswasta,24515,9th,5,Menikah,Ekesekutif Managerial,Laki2,0,0,40,<= 6 juta
115,43,Wiraswasta,166740,Pendidikan Tinggi,10,Cerai,Pemuka Agama,Laki2,0,0,48,<= 6 juta
116,39,Wiraswasta,57691,SMA,9,Berpisah,Ekesekutif Managerial,Laki2,0,31612000,70,<= 6 juta
117,35,Wiraswasta,465507,SMA,9,Menikah,Mesin Inspeksi,Laki2,0,0,40,<= 6 juta
118,34,Wiraswasta,215124,SMA,9,Menikah,Supir,Laki2,0,0,40,<= 6 juta
119,46,Wiraswasta,216292,SMA,9,Menikah,Sales,Laki2,0,0,45,<= 6 juta
120,33,Wiraswasta,369258,Sarjana,13,Belum Pernah Menikah,Pembersih,Perempuan,0,0,40,<= 6 juta
121,50,Wiraswasta,240989,1st-4th,2,Menikah,Petani,Laki2,0,0,40,<= 6 juta
122,47,Pemerintah Lokal,216586,11th,7,Cerai,Servis Lainnya,Laki2,0,0,40,<= 6 juta
123,57,Pekerja Bebas Bukan Perusahan,69905,SMA,9,Menikah,Servis Lainnya,Perempuan,210336000,0,40,> 6 juta
124,20,Wiraswasta,228649,SMA,9,Belum Pernah Menikah,Servis Lainnya,Laki2,0,0,40,<= 6 juta
125,36,Pemerintah Lokal,161132,Pendidikan Tinggi,10,Belum Pernah Menikah,Penjaga,Laki2,0,0,56,<= 6 juta
126,40,Pekerja Bebas Bukan Perusahan,237293,Sekolah Professional,15,Menikah,Spesialis,Perempuan,210336000,0,40,> 6 juta
127,20,Wiraswasta,26842,Pendidikan Tinggi,10,Belum Pernah Menikah,Mesin Inspeksi,Perempuan,30464000,0,40,<= 6 juta
128,30,Wiraswasta,427541,SMA,9,Belum Pernah Menikah,Pembersih,Perempuan,1399986000,0,40,> 6 juta
129,36,Pemerintah Provinsi,187089,Sarjana,13,Belum Pernah Menikah,Ekesekutif Managerial,Perempuan,0,0,40,<= 6 juta
130,58,Wiraswasta,256274,SMA,9,Cerai,Pemuka Agama,Perempuan,0,0,40,<= 6 juta
131,34,Wiraswasta,299635,Master,14,Menikah,Ekesekutif Managerial,Laki2,0,26628000,50,> 6 juta
132,34,Wiraswasta,124827,D4,11,Belum Pernah Menikah,Supir,Laki2,0,0,40,<= 6 juta
133,17,Wiraswasta,242718,11th,7,Belum Pernah Menikah,Sales,Laki2,0,0,12,<= 6 juta
134,70,Pekerja Bebas Perusahaan,46577,Sarjana,13,Janda,Petani,Perempuan,0,0,6,<= 6 juta
135,56,Wiraswasta,201817,SMA,9,Janda,Mesin Inspeksi,Perempuan,0,0,40,<= 6 juta
136,60,?,251572,SMA,9,Janda,?,Laki2,0,0,35,<= 6 juta
137,63,Wiraswasta,264968,Sarjana,13,Belum Pernah Menikah,Pemuka Agama,Laki2,0,0,40,<= 6 juta
138,46,Wiraswasta,233493,SMA,9,Menikah,Mesin Inspeksi,Laki2,0,22106000,40,<= 6 juta
139,42,Wiraswasta,123838,Sarjana,13,Menikah,Sales,Laki2,0,0,60,> 6 juta
140,32,Wiraswasta,154950,Sarjana,13,Menikah,Sales,Laki2,0,27678000,44,> 6 juta
141,24,Pekerja Bebas Bukan Perusahan,162688,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0,0,40,<= 6 juta
142,28,Wiraswasta,93235,Pendidikan Tinggi,10,Belum Pernah Menikah,Sales,Laki2,0,0,40,<= 6 juta
143,21,?,195808,11th,7,Belum Pernah Menikah,?,Laki2,0,0,15,<= 6 juta
144,34,Wiraswasta,199934,Pendidikan Tinggi,10,Menikah,Mesin Inspeksi,Laki2,102172000,0,40,> 6 juta
145,33,Wiraswasta,176711,Sarjana,13,Menikah,Petani,Laki2,0,0,40,<= 6 juta
146,63,Pekerja Bebas Bukan Perusahan,217715,5th-6th,3,Belum Pernah Menikah,Sales,Perempuan,0,0,3,<= 6 juta
147,45,Pemerintah Lokal,375606,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0,0,40,> 6 juta
148,25,Wiraswasta,335376,D3,12,Belum Pernah Menikah,Pemuka Agama,Perempuan,0,0,38,<= 6 juta
149,55,Pekerja Bebas Perusahaan,182273,Pendidikan Tinggi,10,Menikah,Sales,Laki2,0,0,40,<= 6 juta
150,35,Wiraswasta,538583,11th,7,Berpisah,Supir,Laki2,0,0,40,<= 6 juta
151,90,?,166343,1st-4th,2,Janda,?,Perempuan,0,0,40,<= 6 juta
152,37,Pekerja Bebas Bukan Perusahan,377798,Pendidikan Tinggi,10,Cerai,Perbaikan Kerajinan,Laki2,0,0,50,<= 6 juta
153,26,Wiraswasta,343506,SMA,9,Belum Pernah Menikah,Servis Lainnya,Perempuan,0,0,40,<= 6 juta
154,43,Pekerja Bebas Perusahaan,210013,Pendidikan Tinggi,10,Belum Pernah Menikah,Ekesekutif Managerial,Laki2,0,0,50,> 6 juta
155,38,Wiraswasta,200445,Pendidikan Tinggi,10,Menikah,Mesin Inspeksi,Laki2,0,0,48,> 6 juta
156,44,Wiraswasta,344060,Sarjana,13,Belum Pernah Menikah,Spesialis,Laki2,389592000,0,40,> 6 juta
157,53,Pemerintah Lokal,169719,SMA,9,Menikah,Ekesekutif Managerial,Laki2,0,0,40,<= 6 juta
158,37,Wiraswasta,186934,Master,14,Menikah,Sales,Laki2,0,0,50,> 6 juta
159,27,Pekerja Bebas Perusahaan,217848,12th,8,Menikah,Pemuka Agama,Laki2,0,0,40,> 6 juta
160,25,Wiraswasta,144478,Pendidikan Tinggi,10,Belum Pernah Menikah,Servis Lainnya,Laki2,0,0,40,<= 6 juta
161,44,Wiraswasta,228124,SMA,9,Menikah LDR,Pemuka Agama,Perempuan,0,0,40,<= 6 juta
162,18,Wiraswasta,260977,12th,8,Belum Pernah Menikah,Sales,Perempuan,0,0,20,<= 6 juta
163,25,Wiraswasta,137951,SMA,9,Belum Pernah Menikah,Pemuka Agama,Perempuan,0,0,30,<= 6 juta
164,24,Wiraswasta,216181,D4,11,Belum Pernah Menikah,Mesin Inspeksi,Laki2,0,0,40,<= 6 juta
165,46,Wiraswasta,212162,5th-6th,3,Menikah,Servis Lainnya,Laki2,0,0,40,<= 6 juta
166,46,Wiraswasta,28074,Pendidikan Tinggi,10,Menikah,Perbaikan Kerajinan,Laki2,0,0,89,> 6 juta
167,40,Wiraswasta,210648,Sarjana,13,Menikah,Spesialis,Laki2,0,0,44,> 6 juta
168,42,Pemerintah Lokal,223548,Master,14,Belum Pernah Menikah,Spesialis,Laki2,0,0,40,<= 6 juta
169,48,Wiraswasta,182313,Pendidikan Tinggi,10,Menikah,Pembersih,Laki2,0,0,40,<= 6 juta
170,53,Pekerja Bebas Bukan Perusahan,175456,Pendidikan Tinggi,10,Menikah,Petani,Laki2,0,0,30,<= 6 juta
171,90,Wiraswasta,171956,Pendidikan Tinggi,10,Berpisah,Pemuka Agama,Perempuan,0,0,40,<= 6 juta
172,19,?,167428,Pendidikan Tinggi,10,Belum Pernah Menikah,?,Laki2,0,0,40,<= 6 juta
173,47,Pemerintah Lokal,174533,D4,11,Menikah,Ekesekutif Managerial,Laki2,0,0,40,> 6 juta
174,44,Wiraswasta,148138,Doktor,16,Menikah,Ekesekutif Managerial,Laki2,210336000,0,40,> 6 juta
175,27,Wiraswasta,94090,Pendidikan Tinggi,10,Menikah,Mesin Inspeksi,Laki2,0,0,50,<= 6 juta
176,41,Wiraswasta,201981,SMA,9,Cerai,Perbaikan Kerajinan,Laki2,0,0,40,<= 6 juta
177,53,Wiraswasta,312446,Sarjana,13,Menikah,Ekesekutif Managerial,Laki2,0,0,60,> 6 juta
178,41,Wiraswasta,69333,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0,0,45,> 6 juta
179,26,Wiraswasta,239877,Sarjana,13,Belum Pernah Menikah,Pemuka Agama,Perempuan,0,0,40,<= 6 juta
180,36,?,98776,Pendidikan Tinggi,10,Belum Pernah Menikah,?,Laki2,0,0,30,<= 6 juta
181,31,Wiraswasta,279680,Pendidikan Tinggi,10,Menikah,Pembersih,Laki2,0,0,45,<= 6 juta
182,18,Wiraswasta,96445,Pendidikan Tinggi,10,Belum Pernah Menikah,Servis Lainnya,Perempuan,0,0,24,<= 6 juta
183,31,Wiraswasta,236861,Pendidikan Tinggi,10,Menikah,Sales,Laki2,0,0,55,> 6 juta
184,64,Wiraswasta,143110,Sarjana,13,Janda,Spesialis,Perempuan,0,0,30,<= 6 juta
185,29,Wiraswasta,183061,SMA,9,Menikah,Perbaikan Kerajinan,Laki2,0,0,48,<= 6 juta
186,44,Pekerja Bebas Bukan Perusahan,208277,SMA,9,Menikah,Mesin Inspeksi,Perempuan,0,0,45,<= 6 juta
187,25,Wiraswasta,224203,11th,7,Menikah,Perbaikan Kerajinan,Laki2,0,0,40,<= 6 juta
